"id","hip","bf","proper","ra","dec","dist","mag","ci","con"
27403,27472,"","",5.817963,62.80819,122.6994,6.18,0.128,Cam
27414,27483,"29Tau Aur","",5.819567,39.181071,63.4115,4.51,0.949,Aur
27442,27511,"134    Tau","",5.825814,12.651324,76.2777,4.89,-0.068,Tau
27443,27512,"","",5.826146,-44.875394,100000.0,6.38,1.262,Pic
27448,27517,"","",5.826817,-14.483665,82.0345,5.49,0.87,Lep
27461,27530,Gam Pic,"",5.830451,-56.166663,54.2005,4.5,1.075,Pic
27464,27533,"","",5.831528,-22.971872,170.3578,5.87,0.055,Lep
27465,27534,Eps Dor,"",5.831539,-66.901187,176.0563,5.1,-0.128,Dor
27481,27549,"","",5.834079,9.871218,109.8901,5.79,0.876,Ori
27491,27560,"","",5.836962,4.423406,178.2531,5.96,1.361,Ori
27497,27566,Kap Men,"",5.837999,-79.361362,87.4126,5.46,-0.076,Men
27512,27583,"","",5.84134,-52.767879,214.5923,6.32,0.746,Pic
27514,27581,"135    Tau","",5.841363,14.305608,97.0874,5.54,1.006,Tau
27519,27588,"","",5.841674,2.0247,316.4557,5.97,0.953,Ori
27552,27621,"","",5.848117,-52.108873,78.6164,5.16,0.96,Pic
27556,27625,"","",5.848976,51.514583,87.7193,6.29,1.047,Aur
27559,27628,Bet Col,Wazn,5.849329,-35.768309,26.7308,3.12,1.146,Col
27560,27629,"","",5.849475,27.967861,107.0664,5.6,0.978,Tau
27569,27639,"31Ups Aur","",5.850675,37.305573,160.2564,4.72,1.621,Aur
27585,27654,"15Del Lep","",5.855357,-20.879089,34.8675,3.76,0.984,Lep
27589,27658,"55    Ori","",5.856107,-7.518003,321.5434,5.36,-0.195,Ori
27591,27660,"","",5.856416,-64.033566,346.0208,6.35,0.866,Dor
27592,27661,"","",5.857153,32.124694,183.8235,6.28,1.752,Aur
27601,27670,"","",5.857948,-22.926947,126.1034,6.16,1.02,Lep
27604,27673,"32Nu  Aur","",5.858166,39.14848,70.6215,3.97,1.132,Aur
27636,27705,"","",5.866552,-29.449426,215.5172,6.47,1.473,Col
27644,27713,"","",5.868814,-9.0419,98.912,5.95,0.1,Ori
27661,27731,"30    Cam","",5.87146,58.964088,148.368,6.14,-0.036,Cam
27668,27737,"","",5.872276,-57.156191,132.626,5.93,0.656,Pic
27673,27743,"137    Tau","",5.872859,14.171787,130.039,5.6,-0.053,Tau
27678,27747,"","",5.873168,19.867849,343.6426,5.96,0.549,Ori
27681,27750,"56    Ori","",5.874011,1.855134,386.1004,4.76,1.382,Ori
27697,27766,"","",5.875883,-37.631063,98.7167,5.62,1.046,Col
27708,27777,"","",5.877685,39.574705,188.6792,6.4,0.098,Aur
27709,27778,"","",5.877803,33.917462,236.4066,6.04,1.579,Aur
27726,27795,"","",5.88208,68.471541,141.6431,6.22,0.955,Cam
27741,27810,Lam Col,"",5.885245,-33.801361,102.5641,4.88,-0.154,Col
27761,27830,"136    Tau","",5.88879,27.612262,129.7017,4.56,-0.008,Tau
27821,27890,"","",5.901658,-63.089627,26.2467,4.65,1.022,Dor
27831,27900,"","",5.903708,10.586403,431.0345,6.13,1.404,Ori
27832,27901,"","",5.903896,-29.147206,53.9084,6.34,0.37,Col
27833,27902,"","",5.904377,3.225641,140.4494,6.3,1.283,Ori
27844,27913,"54Chi1Ori","",5.906386,20.276174,8.6633,4.39,0.594,Ori
