pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
Qatar-7 b,Qatar-7,,,1,705.981,358.51513,37.02182,F4 V,6387,1.564,1.409,0.5635,0.0352,2.03205,0,19.055,597.52,2053,Transit,2019
TOI-172 b,TOI-172,,,1,342.831,316.63188,-26.69287,,5645,1.777,1.128,0.4609,0.0914,9.47725,0.381,10.817,1722.639,1198,Transit,2019
K2-293 b,K2-293,,,1,392.251,351.6065,-6.02791,,5532,0.947,0.958,,,13.1225,,2.45,,750,Transit,2019
K2-294 b,K2-294,,,1,373.078,352.05167,-7.60379,,5612,1.2,0.987,,,2.50387,,1.66,,1425,Transit,2019
GJ 685 b,GJ 685,86087,,1,14.316,263.89604,61.67935,M0.5,3816,0.54,0.55,-1.253,0.1344,24.16,0,,9,,Radial Velocity,2019
HD 181234 b,HD 181234,95015,181234,1,47.746,289.99987,-9.32497,,,,0.94,,7.427,7593.40512,0.726,,2980.913,,Radial Velocity,2019
HD 25015 b,HD 25015,18527,25015,1,37.433,59.43355,-20.26733,,,,0.86,,6.248,6134.427,0.341,,2884.928,,Radial Velocity,2019
HD 50499 c,HD 50499,32970,50499,1,46.285,103.00808,-33.91527,G1 V,6099,1.42,1.31,,9.02,8619.9,0,,931.242,,Radial Velocity,2019
HD 92788 c,HD 92788,52409,92788,1,34.654,160.70214,-2.18472,G6 V,5744,1.14,1.15,,10.5,11611.2975,0.46,,1166.436,,Radial Velocity,2019
HD 221416 b,HD 221416,116158,221416,1,95.548,353.03319,-21.8012,,5080,2.943,1.212,0.7118,0.1228,14.2767,0.115,9.17,60.5,,Transit,2019
WASP-177 b,WASP-177,,,1,176.818,334.79699,-1.83443,K2,5017,0.885,0.876,,0.03957,3.07172,,17.71,161.458,1142,Transit,2019
WASP-181 b,WASP-181,,,1,437.495,26.79323,3.13293,G2,5839,0.965,1.04,,0.05427,4.51951,,13.271,95.031,1186,Transit,2019
WASP-183 b,WASP-183,,,1,325.377,163.78885,-0.73707,G9,5313,0.871,0.784,,0.04632,4.11178,,16.477,159.551,1111,Transit,2019
Kepler-47 d,Kepler-47,,,2,1025.02,295.29789,46.92043,,,0.936,0.957,,0.6992,187.366,0.024,7.04,19.02,,Transit,2019
HD 21749 c,GJ 143,16069,21749,1,16.32,51.75019,-63.50017,K4.5,4640,0.695,0.73,-0.6862,0.0695,7.78993,,0.892,3.7,701,Transit,2019
Qatar-8 b,Qatar-8,,,1,281.498,157.41234,70.52708,G0 V,5738,1.315,1.029,0.2279,0.0474,3.71495,0,14.404,117.915,1457,Transit,2019
Kepler-780 b,Kepler-780,,,1,557.652,281.76635,44.29249,,5769,1.02,1.01,,,0.67738,,0.89,,,Transit,2016
Qatar-9 b,Qatar-9,,,1,213.771,160.7481,60.96412,K5 V,4309,0.696,0.719,-0.821,0.0234,1.54073,0,11.31,378.218,1134,Transit,2019
Qatar-10 b,Qatar-10,,,1,559.068,284.44391,69.57084,F7 V,6124,1.254,1.156,0.2995,0.0286,1.64532,0,17.295,233.923,1955,Transit,2019
TOI-216.02,TOI-216,,,1,177.945,73.98001,-63.26033,,,0.748,0.77,,,17.16073,0.16,8,18.752,,Transit,2019
TOI-216.01,TOI-216,,,1,177.945,73.98001,-63.26033,,,0.748,0.77,,,34.52553,0.005,10.1,177.984,,Transit,2019
HD 221420 b,HD 221420,116250,221420,1,31.142,353.3319,-77.38533,G2 IV-V,5847,1.947,1.351,0.6029,10.15,10090,0.14,,7278.271,,Radial Velocity,2019
NGTS-5 b,NGTS-5,,,1,306.779,221.05827,5.60537,K2 V,4987,0.739,0.661,,0.0382,3.35699,0,12.733,72.783,952,Transit,2019
HD 210193 b,HD 210193,109381,210193,1,42.203,332.39513,-41.22521,G3 V,5790,,1.04,,1.487,649.918,0.24,,153.1,,Radial Velocity,2019
HD 211970 b,HD 211970,110443,211970,1,13.128,335.56616,-54.5596,K7 V,4127,,0.61,,0.143,25.201,0.15,,13,,Radial Velocity,2019
HD 39855 b,HD 39855,27922,39855,1,23.26,88.62607,-19.70445,G8 V,5576,,0.87,,0.041,3.2498,0.14,,8.5,,Radial Velocity,2019
HIP 35173 b,HIP 35173,35173,,1,33.156,109.04493,-3.66613,K2 V,4881,,0.79,,0.217,41.516,0.16,,12.7,,Radial Velocity,2019
Kepler-271 b,Kepler-271,,,1,404.542,283.00293,44.28411,,5555,0.87,0.9,,,10.43548,,1.23,,,Transit,2014
HD 102843 b,HD 102843,57735,102843,1,62.758,177.58547,-1.2523,K0 V,5436,,0.95,,4.074,3090.942,0.11,,113.9,,Radial Velocity,2019
HD 103949 b,HD 103949,58374,103949,1,26.5,179.54796,-23.92412,K3 V,4792,,0.77,,0.439,120.878,0.19,,11.2,,Radial Velocity,2019
HD 206255 b,HD 206255,107160,206255,1,75.236,325.59178,-50.09359,G5 IV/V,5635,,1.42,,0.461,96.045,0.23,,34.2,,Radial Velocity,2019
HD 21411 b,HD 21411,16012,21411,1,29.133,51.54742,-30.61684,G8 V,5605,,0.89,,0.362,84.288,0.4,,65.9,,Radial Velocity,2019
HD 64114 b,HD 64114,38392,64114,1,31.526,117.98256,-11.03372,G7 V,5676,,0.95,,0.246,45.791,0.12,,17.8,,Radial Velocity,2019
HD 8326 b,HD 8326,6390,8326,1,30.686,20.53144,-26.89407,K2 V,4914,,0.8,,0.533,158.991,0.2,,66.6,,Radial Velocity,2019
HIP 54373 b,HIP 54373,54373,,1,18.717,166.86435,-19.29169,K5 V,4021,,0.57,,0.063,7.76,0.2,,8.62,,Radial Velocity,2019
HIP 54373 c,HIP 54373,54373,,1,18.717,166.86435,-19.29169,K5 V,4021,,0.57,,0.099,15.144,0.2,,12.44,,Radial Velocity,2019
HD 24085 b,HD 24085,17515,24085,1,54.9,56.25634,-70.02452,G0 V,6034,,1.22,,0.034,2.0455,0.22,,11.8,,Radial Velocity,2019
HIP 71135 b,HIP 71135,71135,,1,32.331,218.21581,-52.64648,M1,4146,,0.66,,0.335,87.19,0.21,,18.8,,Radial Velocity,2019
Kepler-418 c,Kepler-418,,,1,1002.53,294.43352,38.35547,,5822,1.081,0.957,,,12.2183,,5.221,,,Transit,2021
